127.0.0.1 - - [17/Mar/2026:14:58:32 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [17/Mar/2026:14:58:33 +0530] "GET /InventorySimple/ HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [17/Mar/2026:14:58:33 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [17/Mar/2026:14:58:44 +0530] "POST /InventorySimple/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2026:14:58:44 +0530] "GET /InventorySimple/index.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [17/Mar/2026:14:58:50 +0530] "POST /InventorySimple/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2026:14:58:50 +0530] "GET /InventorySimple/index.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:02:33 +0530] "POST /InventorySimple/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:02:33 +0530] "GET /InventorySimple/index.jsp HTTP/1.1" 200 1599
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:03:10 +0530] "POST /InventorySimple/LoginServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:03:12 +0530] "GET /InventorySimple/ViewProductsServlet HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:03:19 +0530] "GET /InventorySimple/EditProductServlet?id=14 HTTP/1.1" 200 1511
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:03:22 +0530] "POST /InventorySimple/UpdateProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:03:22 +0530] "GET /InventorySimple/ViewProductsServlet HTTP/1.1" 200 6223
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:03:40 +0530] "GET /InventorySimple/DeleteProductServlet?id=25 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:03:41 +0530] "GET /InventorySimple/ViewProductsServlet HTTP/1.1" 200 5960
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:03:45 +0530] "GET /InventorySimple/addProduct.jsp HTTP/1.1" 200 2064
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:04:11 +0530] "POST /InventorySimple/AddProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:04:11 +0530] "GET /InventorySimple/ViewProductsServlet HTTP/1.1" 200 6266
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:04:22 +0530] "GET /InventorySimple/EditProductServlet?id=32 HTTP/1.1" 200 1521
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:04:26 +0530] "POST /InventorySimple/UpdateProductServlet HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:04:26 +0530] "GET /InventorySimple/ViewProductsServlet HTTP/1.1" 200 6265
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:04:31 +0530] "GET /InventorySimple/ViewProductsServlet HTTP/1.1" 200 6265
0:0:0:0:0:0:0:1 - - [17/Mar/2026:15:05:26 +0530] "GET /InventorySimple/ViewProductsServlet HTTP/1.1" 200 6269
